Timestamp_ms,Row,Point_Index,X,Y,Screen_Width,Screen_Height
15899919,1,11,1638,74,1920,1080
16049622,1,12,1614,74,1920,1080
16099961,1,13,1590,74,1920,1080
16199980,1,14,1566,74,1920,1080
16299925,1,15,1543,74,1920,1080
16449410,1,16,1519,74,1920,1080
16549968,1,17,1495,74,1920,1080
16649579,1,18,1471,74,1920,1080
16749735,1,19,1447,74,1920,1080
16847162,1,20,1424,74,1920,1080
16998750,1,21,1400,74,1920,1080
17099975,1,22,1376,74,1920,1080
17249996,1,23,1352,74,1920,1080
17299999,1,24,1328,74,1920,1080
17399990,1,25,1305,74,1920,1080
17499970,1,26,1281,74,1920,1080
17599998,1,27,1257,74,1920,1080
17749999,1,28,1233,74,1920,1080
17799967,1,29,1209,74,1920,1080
17949980,1,30,1186,74,1920,1080
18049765,1,31,1162,74,1920,1080
18149975,1,32,1138,74,1920,1080
18249989,1,33,1114,74,1920,1080
18399808,1,34,1090,74,1920,1080
18499972,1,35,1067,74,1920,1080
18598545,1,36,1043,74,1920,1080
18699953,1,37,1019,74,1920,1080
18799560,1,38,995,74,1920,1080
18899999,1,39,971,74,1920,1080
18999999,1,40,948,74,1920,1080
19149960,1,41,924,74,1920,1080
19249990,1,42,900,74,1920,1080
19349805,1,43,876,74,1920,1080
19449792,1,44,852,74,1920,1080
19597636,1,45,829,74,1920,1080
19699974,1,46,805,74,1920,1080
19849727,1,47,781,74,1920,1080
19899728,1,48,757,74,1920,1080
19999678,1,49,733,74,1920,1080
20098847,1,50,710,74,1920,1080
20247072,1,51,686,74,1920,1080
20349966,1,52,662,74,1920,1080
20499163,1,53,638,74,1920,1080
20599882,1,54,614,74,1920,1080
20699481,1,55,591,74,1920,1080
20849991,1,56,567,74,1920,1080
20899999,1,57,543,74,1920,1080
20999796,1,58,519,74,1920,1080
21099344,1,59,495,74,1920,1080
21298982,1,60,472,74,1920,1080
21399799,1,61,448,74,1920,1080
21549985,1,62,424,74,1920,1080
21649935,1,63,400,74,1920,1080
21799997,1,64,376,74,1920,1080
21899999,1,65,353,74,1920,1080
22049961,1,66,329,74,1920,1080
22099961,1,67,305,74,1920,1080
22199987,1,68,281,74,1920,1080
22349914,1,69,257,74,1920,1080
22449512,1,70,234,74,1920,1080
22549177,1,71,210,74,1920,1080
22649986,1,72,186,74,1920,1080
22799969,1,73,162,74,1920,1080
22899998,1,74,138,74,1920,1080
23049984,1,75,115,74,1920,1080
23099997,1,76,91,74,1920,1080
23199879,1,77,67,74,1920,1080
23299463,1,78,43,74,1920,1080
23399376,1,79,20,74,1920,1080
23549367,2,0,20,129,1920,1080
23649975,2,1,43,129,1920,1080
23748622,2,2,67,129,1920,1080
23849672,2,3,91,129,1920,1080
23999554,2,4,115,129,1920,1080
24097071,2,5,138,129,1920,1080
24199827,2,6,162,129,1920,1080
24349084,2,7,186,129,1920,1080
24494635,2,8,210,129,1920,1080
24599625,2,9,234,129,1920,1080
24749796,2,10,257,129,1920,1080
24849984,2,11,281,129,1920,1080
24949810,2,12,305,129,1920,1080
25049919,2,13,329,129,1920,1080
25199999,2,14,353,129,1920,1080
25299937,2,15,376,129,1920,1080
25449786,2,16,400,129,1920,1080
25499143,2,17,424,129,1920,1080
25599976,2,18,448,129,1920,1080
25699854,2,19,472,129,1920,1080
25799903,2,20,495,129,1920,1080
25899787,2,21,519,129,1920,1080
26049855,2,22,543,129,1920,1080
26149859,2,23,567,129,1920,1080
26249886,2,24,591,129,1920,1080
26349235,2,25,614,129,1920,1080
26499901,2,26,638,129,1920,1080
26598831,2,27,662,129,1920,1080
26748281,2,28,686,129,1920,1080
26849998,2,29,710,129,1920,1080
26949990,2,30,733,129,1920,1080
27049931,2,31,757,129,1920,1080
27149963,2,32,781,129,1920,1080
27299721,2,33,805,129,1920,1080
27399651,2,34,829,129,1920,1080
27499741,2,35,852,129,1920,1080
27649791,2,36,876,129,1920,1080
27699887,2,37,900,129,1920,1080
27799179,2,38,924,129,1920,1080
27899829,2,39,948,129,1920,1080
28099892,2,40,971,129,1920,1080
28249994,2,41,995,129,1920,1080
28349868,2,42,1019,129,1920,1080
28499777,2,43,1043,129,1920,1080
28599954,2,44,1067,129,1920,1080
28749247,2,45,1090,129,1920,1080
28849858,2,46,1114,129,1920,1080
28949862,2,47,1138,129,1920,1080
29099999,2,48,1162,129,1920,1080
29199995,2,49,1186,129,1920,1080
29349978,2,50,1209,129,1920,1080
29499360,2,51,1233,129,1920,1080
29649800,2,52,1257,129,1920,1080
29749893,2,53,1281,129,1920,1080
29849999,2,54,1305,129,1920,1080
29949989,2,55,1328,129,1920,1080
30099846,2,56,1352,129,1920,1080
30199996,2,57,1376,129,1920,1080
30299876,2,58,1400,129,1920,1080
30399789,2,59,1424,129,1920,1080
30499615,2,60,1447,129,1920,1080
30599401,2,61,1471,129,1920,1080
30698573,2,62,1495,129,1920,1080
30849917,2,63,1519,129,1920,1080
30999712,2,64,1543,129,1920,1080
31099034,2,65,1566,129,1920,1080
31249766,2,66,1590,129,1920,1080
31349996,2,67,1614,129,1920,1080
31499997,2,68,1638,129,1920,1080
31599979,2,69,1662,129,1920,1080
31749977,2,70,1685,129,1920,1080
31899934,2,71,1709,129,1920,1080
31999902,2,72,1733,129,1920,1080
32198373,2,73,1757,129,1920,1080
32349985,2,74,1781,129,1920,1080
32499966,2,75,1804,129,1920,1080
32599934,2,76,1828,129,1920,1080
32749987,2,77,1852,129,1920,1080
32849999,2,78,1876,129,1920,1080
32949879,2,79,1900,129,1920,1080
33098322,3,0,1900,184,1920,1080
33249872,3,1,1876,184,1920,1080
33298117,3,2,1852,184,1920,1080
33397605,3,3,1828,184,1920,1080
33499776,3,4,1804,184,1920,1080
33599990,3,5,1781,184,1920,1080
33748317,3,6,1757,184,1920,1080
33849846,3,7,1733,184,1920,1080
33998190,3,8,1709,184,1920,1080
34099257,3,9,1685,184,1920,1080
34199997,3,10,1662,184,1920,1080
34349787,3,11,1638,184,1920,1080
34499993,3,12,1614,184,1920,1080
34597915,3,13,1590,184,1920,1080
34749977,3,14,1566,184,1920,1080
34849918,3,15,1543,184,1920,1080
34949997,3,16,1519,184,1920,1080
35049534,3,17,1495,184,1920,1080
35149846,3,18,1471,184,1920,1080
35248653,3,19,1447,184,1920,1080
35399752,3,20,1424,184,1920,1080
35499957,3,21,1400,184,1920,1080
35599988,3,22,1376,184,1920,1080
35699834,3,23,1352,184,1920,1080
35799937,3,24,1328,184,1920,1080
35898489,3,25,1305,184,1920,1080
35999999,3,26,1281,184,1920,1080
36099992,3,27,1257,184,1920,1080
36249963,3,28,1233,184,1920,1080
36349914,3,29,1209,184,1920,1080
36499925,3,30,1186,184,1920,1080
36599882,3,31,1162,184,1920,1080
36699636,3,32,1138,184,1920,1080
36799551,3,33,1114,184,1920,1080
36898897,3,34,1090,184,1920,1080
37049702,3,35,1067,184,1920,1080
37199981,3,36,1043,184,1920,1080
37299963,3,37,1019,184,1920,1080
37449590,3,38,995,184,1920,1080
37499072,3,39,971,184,1920,1080
37649928,3,40,948,184,1920,1080
37699987,3,41,924,184,1920,1080
37849874,3,42,900,184,1920,1080
37948095,3,43,876,184,1920,1080
38049997,3,44,852,184,1920,1080
38149929,3,45,829,184,1920,1080
38249946,3,46,805,184,1920,1080
38349938,3,47,781,184,1920,1080
38499704,3,48,757,184,1920,1080
38649998,3,49,733,184,1920,1080
38699932,3,50,710,184,1920,1080
38849574,3,51,686,184,1920,1080
38899394,3,52,662,184,1920,1080
38998697,3,53,638,184,1920,1080
39099958,3,54,614,184,1920,1080
39199248,3,55,591,184,1920,1080
39349877,3,56,567,184,1920,1080
39498895,3,57,543,184,1920,1080
39649904,3,58,519,184,1920,1080
39699827,3,59,495,184,1920,1080
39798853,3,60,472,184,1920,1080
39894871,3,61,448,184,1920,1080
39999968,3,62,424,184,1920,1080
40099867,3,63,400,184,1920,1080
40249877,3,64,376,184,1920,1080
40399982,3,65,353,184,1920,1080
40499963,3,66,329,184,1920,1080
40649923,3,67,305,184,1920,1080
40749555,3,68,281,184,1920,1080
40849990,3,69,257,184,1920,1080
40999871,3,70,234,184,1920,1080
41099147,3,71,210,184,1920,1080
41249123,3,72,186,184,1920,1080
41349584,3,73,162,184,1920,1080
41448966,3,74,138,184,1920,1080
41546739,3,75,115,184,1920,1080
41649826,3,76,91,184,1920,1080
41749918,3,77,67,184,1920,1080
41849883,3,78,43,184,1920,1080
41945588,3,79,20,184,1920,1080
42025526,4,0,20,238,1920,1080
42197728,4,1,43,238,1920,1080
42285223,4,2,67,238,1920,1080
42391845,4,3,91,238,1920,1080
42480452,4,4,115,238,1920,1080
42649986,4,5,138,238,1920,1080
42749204,4,6,162,238,1920,1080
42899676,4,7,186,238,1920,1080
42999999,4,8,210,238,1920,1080
43149999,4,9,234,238,1920,1080
43249890,4,10,257,238,1920,1080
43349812,4,11,281,238,1920,1080
43499990,4,12,305,238,1920,1080
43599791,4,13,329,238,1920,1080
43749972,4,14,353,238,1920,1080
43849750,4,15,376,238,1920,1080
43999838,4,16,400,238,1920,1080
44097517,4,17,424,238,1920,1080
44299932,4,18,448,238,1920,1080
44399839,4,19,472,238,1920,1080
44549032,4,20,495,238,1920,1080
44649896,4,21,519,238,1920,1080
44798285,4,22,543,238,1920,1080
44896277,4,23,567,238,1920,1080
44999526,4,24,591,238,1920,1080
45099241,4,25,614,238,1920,1080
45249907,4,26,638,238,1920,1080
45299196,4,27,662,238,1920,1080
45398230,4,28,686,238,1920,1080
45499937,4,29,710,238,1920,1080
45599552,4,30,733,238,1920,1080
45749613,4,31,757,238,1920,1080
45799571,4,32,781,238,1920,1080
45947597,4,33,805,238,1920,1080
46046749,4,34,829,238,1920,1080
46149991,4,35,852,238,1920,1080
46299990,4,36,876,238,1920,1080
46399972,4,37,900,238,1920,1080
46549906,4,38,924,238,1920,1080
46649599,4,39,948,238,1920,1080
46799172,4,40,971,238,1920,1080
46949574,4,41,995,238,1920,1080
47049757,4,42,1019,238,1920,1080
47199759,4,43,1043,238,1920,1080
47299934,4,44,1067,238,1920,1080
47449972,4,45,1090,238,1920,1080
47499940,4,46,1114,238,1920,1080
47599903,4,47,1138,238,1920,1080
47699955,4,48,1162,238,1920,1080
47799976,4,49,1186,238,1920,1080
47899998,4,50,1209,238,1920,1080
47999957,4,51,1233,238,1920,1080
48098944,4,52,1257,238,1920,1080
48249989,4,53,1281,238,1920,1080
48349630,4,54,1305,238,1920,1080
48499587,4,55,1328,238,1920,1080
48599943,4,56,1352,238,1920,1080
48749997,4,57,1376,238,1920,1080
48849987,4,58,1400,238,1920,1080
48999936,4,59,1424,238,1920,1080
49099928,4,60,1447,238,1920,1080
49249978,4,61,1471,238,1920,1080
49299923,4,62,1495,238,1920,1080
49449909,4,63,1519,238,1920,1080
49499678,4,64,1543,238,1920,1080
49599803,4,65,1566,238,1920,1080
49699755,4,66,1590,238,1920,1080
49799683,4,67,1614,238,1920,1080
49949629,4,68,1638,238,1920,1080
50049984,4,69,1662,238,1920,1080
50198376,4,70,1685,238,1920,1080
50299477,4,71,1709,238,1920,1080
50449884,4,72,1733,238,1920,1080
50486951,4,73,1757,238,1920,1080
50649943,4,74,1781,238,1920,1080
50699917,4,75,1804,238,1920,1080
50799175,4,76,1828,238,1920,1080
50899518,4,77,1852,238,1920,1080
50999989,4,78,1876,238,1920,1080
51149247,4,79,1900,238,1920,1080
51249995,5,0,1900,293,1920,1080
51349847,5,1,1876,293,1920,1080
51499911,5,2,1852,293,1920,1080
51599416,5,3,1828,293,1920,1080
51699999,5,4,1804,293,1920,1080
51799778,5,5,1781,293,1920,1080
51899958,5,6,1757,293,1920,1080
52049999,5,7,1733,293,1920,1080
52099997,5,8,1709,293,1920,1080
52249988,5,9,1685,293,1920,1080
52299988,5,10,1662,293,1920,1080
52449998,5,11,1638,293,1920,1080
52499939,5,12,1614,293,1920,1080
52599803,5,13,1590,293,1920,1080
52749901,5,14,1566,293,1920,1080
52849941,5,15,1543,293,1920,1080
52999307,5,16,1519,293,1920,1080
53099315,5,17,1495,293,1920,1080
53249996,5,18,1471,293,1920,1080
53299924,5,19,1447,293,1920,1080
53446149,5,20,1424,293,1920,1080
53498944,5,21,1400,293,1920,1080
53647639,5,22,1376,293,1920,1080
53699847,5,23,1352,293,1920,1080
53849942,5,24,1328,293,1920,1080
53999837,5,25,1305,293,1920,1080
54149991,5,26,1281,293,1920,1080
54299981,5,27,1257,293,1920,1080
54399854,5,28,1233,293,1920,1080
54549856,5,29,1209,293,1920,1080
54649979,5,30,1186,293,1920,1080
54749914,5,31,1162,293,1920,1080
54849412,5,32,1138,293,1920,1080
54949988,5,33,1114,293,1920,1080
55099698,5,34,1090,293,1920,1080
55245508,5,35,1067,293,1920,1080
55349994,5,36,1043,293,1920,1080
55449977,5,37,1019,293,1920,1080
55549878,5,38,995,293,1920,1080
55699838,5,39,971,293,1920,1080
55799563,5,40,948,293,1920,1080
55899885,5,41,924,293,1920,1080
55999979,5,42,900,293,1920,1080
56099909,5,43,876,293,1920,1080
56249741,5,44,852,293,1920,1080
56299900,5,45,829,293,1920,1080
56399573,5,46,805,293,1920,1080
56499982,5,47,781,293,1920,1080
56599898,5,48,757,293,1920,1080
56696006,5,49,733,293,1920,1080
56798327,5,50,710,293,1920,1080
56949994,5,51,686,293,1920,1080
57049939,5,52,662,293,1920,1080
57149991,5,53,638,293,1920,1080
57249991,5,54,614,293,1920,1080
57399900,5,55,591,293,1920,1080
57499961,5,56,567,293,1920,1080
57649751,5,57,543,293,1920,1080
57699300,5,58,519,293,1920,1080
57849980,5,59,495,293,1920,1080
57949643,5,60,472,293,1920,1080
58049766,5,61,448,293,1920,1080
58149582,5,62,424,293,1920,1080
58249958,5,63,400,293,1920,1080
58399700,5,64,376,293,1920,1080
58499936,5,65,353,293,1920,1080
58649559,5,66,329,293,1920,1080
58699928,5,67,305,293,1920,1080
58849600,5,68,281,293,1920,1080
58899366,5,69,257,293,1920,1080
58998042,5,70,234,293,1920,1080
59099911,5,71,210,293,1920,1080
59199980,5,72,186,293,1920,1080
59349989,5,73,162,293,1920,1080
59498270,5,74,138,293,1920,1080
59596524,5,75,115,293,1920,1080
59749898,5,76,91,293,1920,1080
59849439,5,77,67,293,1920,1080
59948742,5,78,43,293,1920,1080
60048919,5,79,20,293,1920,1080
60148465,6,0,20,348,1920,1080
60297147,6,1,43,348,1920,1080
60397637,6,2,67,348,1920,1080
60547742,6,3,91,348,1920,1080
60698312,6,4,115,348,1920,1080
60798099,6,5,138,348,1920,1080
60949990,6,6,162,348,1920,1080
61049985,6,7,186,348,1920,1080
61149952,6,8,210,348,1920,1080
61249977,6,9,234,348,1920,1080
61399817,6,10,257,348,1920,1080
61498909,6,11,281,348,1920,1080
61649396,6,12,305,348,1920,1080
61699159,6,13,329,348,1920,1080
61799318,6,14,353,348,1920,1080
61899542,6,15,376,348,1920,1080
61999992,6,16,400,348,1920,1080
62149946,6,17,424,348,1920,1080
62299998,6,18,448,348,1920,1080
62399989,6,19,472,348,1920,1080
62549832,6,20,495,348,1920,1080
62648622,6,21,519,348,1920,1080
62749887,6,22,543,348,1920,1080
62849492,6,23,567,348,1920,1080
62999775,6,24,591,348,1920,1080
63099652,6,25,614,348,1920,1080
63199917,6,26,638,348,1920,1080
63298984,6,27,662,348,1920,1080
63399310,6,28,686,348,1920,1080
63498607,6,29,710,348,1920,1080
63649961,6,30,733,348,1920,1080
63699955,6,31,757,348,1920,1080
63799649,6,32,781,348,1920,1080
63949555,6,33,805,348,1920,1080
64049999,6,34,829,348,1920,1080
64199900,6,35,852,348,1920,1080
64299893,6,36,876,348,1920,1080
64449963,6,37,900,348,1920,1080
64498740,6,38,924,348,1920,1080
64649754,6,39,948,348,1920,1080
64698858,6,40,971,348,1920,1080
64849336,6,41,995,348,1920,1080
64899763,6,42,1019,348,1920,1080
64999964,6,43,1043,348,1920,1080
65149906,6,44,1067,348,1920,1080
65298805,6,45,1090,348,1920,1080
65399736,6,46,1114,348,1920,1080
65547542,6,47,1138,348,1920,1080
65648053,6,48,1162,348,1920,1080
65749551,6,49,1186,348,1920,1080
65899993,6,50,1209,348,1920,1080
65999997,6,51,1233,348,1920,1080
66099946,6,52,1257,348,1920,1080
66199845,6,53,1281,348,1920,1080
66299724,6,54,1305,348,1920,1080
66449901,6,55,1328,348,1920,1080
66499871,6,56,1352,348,1920,1080
66599945,6,57,1376,348,1920,1080
66749531,6,58,1400,348,1920,1080
66899952,6,59,1424,348,1920,1080
66999975,6,60,1447,348,1920,1080
67099684,6,61,1471,348,1920,1080
67199206,6,62,1495,348,1920,1080
67349906,6,63,1519,348,1920,1080
67449559,6,64,1543,348,1920,1080
67549892,6,65,1566,348,1920,1080
67699875,6,66,1590,348,1920,1080
67849997,6,67,1614,348,1920,1080
67899994,6,68,1638,348,1920,1080
68049917,6,69,1662,348,1920,1080
68099954,6,70,1685,348,1920,1080
68249961,6,71,1709,348,1920,1080
68299395,6,72,1733,348,1920,1080
68449960,6,73,1757,348,1920,1080
68499443,6,74,1781,348,1920,1080
68599839,6,75,1804,348,1920,1080
68749769,6,76,1828,348,1920,1080
68849672,6,77,1852,348,1920,1080
68998598,6,78,1876,348,1920,1080
69095326,6,79,1900,348,1920,1080
69187984,7,0,1900,403,1920,1080
69299927,7,1,1876,403,1920,1080
69449352,7,2,1852,403,1920,1080
69498629,7,3,1828,403,1920,1080
69594165,7,4,1804,403,1920,1080
69688601,7,5,1781,403,1920,1080
69838651,7,6,1757,403,1920,1080
69999967,7,7,1733,403,1920,1080
70097623,7,8,1709,403,1920,1080
70199999,7,9,1685,403,1920,1080
70299994,7,10,1662,403,1920,1080
70449805,7,11,1638,403,1920,1080
70499972,7,12,1614,403,1920,1080
70649829,7,13,1590,403,1920,1080
70699946,7,14,1566,403,1920,1080
70799160,7,15,1543,403,1920,1080
70899987,7,16,1519,403,1920,1080
71099844,7,17,1495,403,1920,1080
71199722,7,18,1471,403,1920,1080
71349418,7,19,1447,403,1920,1080
71498406,7,20,1424,403,1920,1080
71599553,7,21,1400,403,1920,1080
71698811,7,22,1376,403,1920,1080
71849190,7,23,1352,403,1920,1080
71899936,7,24,1328,403,1920,1080
72049925,7,25,1305,403,1920,1080
72099966,7,26,1281,403,1920,1080
72249529,7,27,1257,403,1920,1080
72298992,7,28,1233,403,1920,1080
72398514,7,29,1209,403,1920,1080
72499521,7,30,1186,403,1920,1080
72599831,7,31,1162,403,1920,1080
72697609,7,32,1138,403,1920,1080
72799738,7,33,1114,403,1920,1080
72949994,7,34,1090,403,1920,1080
73049996,7,35,1067,403,1920,1080
73149999,7,36,1043,403,1920,1080
73249944,7,37,1019,403,1920,1080
73349715,7,38,995,403,1920,1080
73449780,7,39,971,403,1920,1080
73599788,7,40,948,403,1920,1080
73699947,7,41,924,403,1920,1080
73848902,7,42,900,403,1920,1080
73896509,7,43,876,403,1920,1080
73999680,7,44,852,403,1920,1080
74149909,7,45,829,403,1920,1080
74249786,7,46,805,403,1920,1080
74349997,7,47,781,403,1920,1080
74449985,7,48,757,403,1920,1080
74599451,7,49,733,403,1920,1080
74699955,7,50,710,403,1920,1080
74849988,7,51,686,403,1920,1080
74899996,7,52,662,403,1920,1080
74999992,7,53,638,403,1920,1080
75149957,7,54,614,403,1920,1080
75299996,7,55,591,403,1920,1080
75399991,7,56,567,403,1920,1080
75549952,7,57,543,403,1920,1080
75649881,7,58,519,403,1920,1080
75799995,7,59,495,403,1920,1080
